id,company_name,job_title,location,description,inserted_at
149,SmartLabs,Desenvolvedor(a) Back-end Júnior,"Florianópolis, SC","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2026-04-19 10:21:00
150,DigitalCore,Analista de Suporte Júnior,"Florianópolis, SC","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-05-11 10:45:00
151,InovaTI,Estágio em QA,"Florianópolis, SC","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2025-08-24 10:54:00
152,Alpha Cloud,Estágio em Ciência de Dados,"Belo Horizonte, MG","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-09-06 10:51:00
153,DataBridge,Desenvolvedor(a) Júnior,"Campinas, SP","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-10-24 10:30:00
154,InovaTI,Estágio em Desenvolvimento,"São Paulo, SP","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-11-04 10:38:00
155,CloudSync,Estágio em QA,"Salvador, BA","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-12-08 10:44:00
156,Pixel Systems,Desenvolvedor(a) Back-end Júnior,"Belo Horizonte, MG","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2026-01-24 10:24:00
157,DigitalCore,Desenvolvedor(a) Back-end Júnior,"Curitiba, PR","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-02-24 10:57:00
158,Sigma Digital,Estágio em Desenvolvimento,"Rio de Janeiro, RJ","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-03-23 10:10:00
159,Alpha Cloud,QA Júnior,Remoto - Brasil,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2026-04-08 10:56:00
160,BlueSoft,Pessoa Aprendiz em TI,Remoto - Brasil,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2026-05-02 10:32:00
161,Sigma Digital,Pessoa Aprendiz em TI,"Florianópolis, SC","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2025-08-07 10:13:00
162,Alpha Cloud,Desenvolvedor(a) Júnior,"São Paulo, SP","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-09-02 10:38:00
163,BlueSoft,Desenvolvedor(a) Back-end Júnior,"Recife, PE","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2025-10-06 10:32:00
164,DigitalCore,Desenvolvedor(a) Front-end Júnior,"Porto Alegre, RS","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-11-02 10:21:00
165,Pixel Systems,QA Júnior,"Recife, PE","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-12-28 10:46:00
166,BlueSoft,Estágio em Ciência de Dados,"Porto Alegre, RS","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2026-01-09 10:55:00
167,DataBridge,Desenvolvedor(a) Júnior,"Rio de Janeiro, RJ","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2026-02-21 10:47:00
168,InovaTI,Estágio em QA,"Salvador, BA","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2026-03-08 10:12:00
169,TechNova,Desenvolvedor(a) Back-end Júnior,"Rio de Janeiro, RJ","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2026-04-17 10:29:00
170,DataBridge,Desenvolvedor(a) Front-end Júnior,"Salvador, BA","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-05-19 10:37:00
171,VisionData,Estágio em QA,"Recife, PE","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2025-08-07 10:04:00
172,DigitalCore,QA Júnior,"Florianópolis, SC","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-09-13 10:59:00
173,ByteWorks,Estágio em Desenvolvimento,"Curitiba, PR","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-10-13 10:43:00
174,DevPoint,Estágio em Ciência de Dados,"Porto Alegre, RS","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2025-11-15 10:25:00
175,ByteWorks,QA Júnior,"Curitiba, PR","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-12-28 10:51:00
176,DevPoint,Pessoa Aprendiz em TI,"Porto Alegre, RS","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-01-17 10:12:00
177,ByteWorks,Estágio em Desenvolvimento,"Belo Horizonte, MG","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-02-10 10:28:00
178,BlueSoft,Estágio em Dados,"São Paulo, SP","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2026-03-22 10:39:00
179,DigitalCore,Desenvolvedor(a) Júnior,"Belo Horizonte, MG","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-04-06 10:08:00
180,ByteWorks,Desenvolvedor(a) Front-end Júnior,"Salvador, BA","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2026-05-20 10:46:00
181,NextGen Tech,Desenvolvedor(a) Front-end Júnior,"Recife, PE","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2025-08-10 10:30:00
182,ByteWorks,Analista de Suporte Júnior,"Porto Alegre, RS","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-09-22 10:55:00
183,DevPoint,Estágio em QA,"São Paulo, SP","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-10-12 10:49:00
184,DevPoint,Desenvolvedor(a) Júnior,"Campinas, SP","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-11-28 10:28:00
185,NextGen Tech,Desenvolvedor(a) Front-end Júnior,"Belo Horizonte, MG","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2025-12-28 10:52:00
186,NextGen Tech,Pessoa Aprendiz em TI,"Campinas, SP","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2026-01-27 10:40:00
187,CloudSync,Desenvolvedor(a) Front-end Júnior,"Florianópolis, SC","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2026-02-24 10:07:00
188,DataBridge,Pessoa Aprendiz em TI,"São Paulo, SP","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2026-03-14 10:48:00
189,TechNova,Estágio em Desenvolvimento,"Porto Alegre, RS","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-04-05 10:29:00
190,TechNova,Desenvolvedor(a) Back-end Júnior,"Belo Horizonte, MG","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2026-05-01 10:22:00
191,NextGen Tech,Desenvolvedor(a) Back-end Júnior,"Recife, PE","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2025-08-14 10:43:00
192,DataBridge,Desenvolvedor(a) Back-end Júnior,"Belo Horizonte, MG","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-09-04 10:35:00
193,SmartLabs,Desenvolvedor(a) Júnior,"Belo Horizonte, MG","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-10-28 10:16:00
194,Sigma Digital,Estágio em Desenvolvimento,"Porto Alegre, RS","Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais.",2025-11-17 10:51:00
195,Sigma Digital,Pessoa Aprendiz em TI,"Salvador, BA","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2025-12-10 10:19:00
196,Pixel Systems,Estágio em QA,"São Paulo, SP","Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe.",2026-01-23 10:48:00
197,DigitalCore,Pessoa Aprendiz em TI,"Porto Alegre, RS","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2026-02-17 10:24:00
198,SmartLabs,Desenvolvedor(a) Júnior,"Curitiba, PR","Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções.",2026-03-12 10:21:00
199,Pixel Systems,Desenvolvedor(a) Júnior,"Florianópolis, SC","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2026-04-13 10:21:00
200,Pixel Systems,Desenvolvedor(a) Júnior,"Campinas, SP","Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área.",2026-05-02 10:10:00
